address,price,bedrooms,bathrooms,property_type,area,county,features,date_of_construction
"Arranmore 9 Killincarrig Road Greystones, Greystones, Co. Wicklow, A63YK02",1145000,4,2,Terrace,greystones-wicklow,Wicklow,,0
"Fairview Terrace, 1 Adelaide Villas, Bray, Co. Wicklow, A98A5D8",395000,2,2,Semi-D,bray-wicklow,Wicklow,"Brand new renovation, just completed, Fully fitted integrated modern kitchen with ample storage and counter top space, accommodating complete range of appliances, Hotpoint oven, hob and extractor fan, Indesit washing machine, Beko dryer and American style Hotpoint fridge/freezer, Gas-fired central heating, Tiled floors in kitchen and bathrooms, Newly fitted uPVC double glazed windows and front door , Property comes fully furnished , Ideally Located in the heart of Bray, only minutes from an array of amenities",0
"Ballintim Lodge, Camolin, Co. Wexford, Y21X5R3",1250000,6,5,Detached,camolin-wexford,Wexford,,1991
"Wayside Cottage, Ballyrussell, Midleton, Co. Cork, P25FP60",345000,3,2,Detached,midleton-cork,Cork,,0
"58 Rathgar Road, Rathgar, Dublin 6, D06X2N2",1950000,6,6,Terrace,rathgar-dublin,Dublin,"Approx. 358 sq m, Substantial property with accommodation spread over 4 levels, Electric gates with video bell, Triple glazed windows throughout the front of the property (double glazed throughout rear), Excellent condition, Period features such as ornate coving, fireplaces, staircase, high ceilings provide the property with excellent character, Prime Dublin 6 location, Games room at basement level presents a flexible space that could suit a variety of uses, Within short walking distance of Rathgar and Rathmines villages, Excellent services and amenities in the area",0
"Larch Vale House, Larch Vale, Moneygall, Co. Offaly, E53F992",1195000,5,4,Detached,moneygall-offaly,Offaly,"Family home originally built circa 1829 fully renovated to 21st century standards, Impeccably presented in turnkey condition, Arched gateway to inner courtyard with secret garden, Less than 1hr from Shannon Airport / 90 mins from Dublin Airport, Converted coach house, Extensive outbuildings ideal for business usage and/or extra accommodation (SPP)., Set well back from road - 300m long tree-lined driveway, Easy and safe walk to village - Primary school / GAA Club / Football Club / Gym / Playground, Electric car charger and high-speed broadband, New high-efficiency OFCH. Two wood burning stoves. Solar panels for hot water.",0
"Minaun Bungalow, Minaun, Faithlegg, Co. Waterford, X91K4C6",299000,4,1,Detached,faithlegg-waterford,Waterford,"Pumped cavity wall insulation, Amazing views , Private well & septic tank",1986
"Downings View, The Downings, Prosperous, Co Kildare, W91E373",650000,4,5,Detached,prosperous-kildare,Kildare,"Built C. 2004, Floor area 215 sq m / 2314 sq ft approx, Gas fired central heating, (Climote control system), Double glazed windows,, Alarm, CCTV cameras x 6, Electronic entrance gate,, 6 panel pine doors, Blinds and curtain poles,, Lightfittings expect in lounge, dining room, bedroom 4,, Attic partially floored,, Tarmac driveway and yard, Cobblelock patio,, Garden sheds x 3, greenhouse,",2004
"Ti Aodha, Caherateemore North, Turloughmore, Co. Galway, H65HC83",450000,5,4,Detached,turloughmore-galway,Galway,"Fullly Extended , Masterfully Remodeled , Over '¬200,000 worth of recent upgrades, All new bathrooms, New Windows and Doors, New Extension, New Block Built Shed, Excellent Location, Just 15 Minutes to Galway City",0
"78 Watson Drive, Killiney, Co. Dublin, A96N4F3",730000,5,2,Semi-D,killiney-dublin,Dublin,"Off street parking to the front., Nicely appointed accommodation., East facing rear garden., Adjacent to Kilbogget Park & its amenities., Close to a selection of shops, restaurants, and schools., Excellent transport links nearby., Oil Fired Central heating., Solid fuel back boiler central heating, Double glazed throughout., Wired for both Virgin Media & Sky fibre broadband",1972
"Carraun, New Inn, Kiltullagh, Co. Galway, H53EW64",375000,3,2,Detached,kiltullagh-galway,Galway,"Beatifully Desined Bungalow, Stunning Open Plan Layout, Contemporary High Gloss Kitchen , Eye Catching Double Sided Stove, Elevated Site, Mature Gardens, Spacious Bedrooms, 25 Minutes Drive to Galway City, Highly Energy Efficient , B3 BER",2011
"Cahermaculick, Shrule, Co. Mayo, H91HRW3",650000,5,6,Detached,shrule-mayo,Mayo,"Once in a life time opportunity, This will be an extraordinary home, Superior build quality and materials , 4.6 Acre Site, 15 Minutes to Cong and Ashford Castle , 35 minute drive to Galway City, On completion will be an A Rated home",0
"Smear, Aughnacliffe, Co. Longford, N39DH31",495000,6,5,Detached,aughnacliffe-longford,Longford,,2005
"Tinny Park House And Lands, Corrastoona Beg, Ballintubber, Co. Roscommon, F45HD77",400000,4,2,Detached,ballintubber-roscommon,Roscommon,"Feature square profiled cut stone piers at entrance, Elegantly set back from roadside with Sweeping Tree Lined Avenue approach to House, Historic Georgian Family Home approached by attractive flight of Limestone Steps, Original Multibay Stable and Coach House fronting onto Square Courtyard, enhanced by the retention of many original features, Walled Garden, 6.2 Acres, Mains Water, Electricity., Septic Tank on site., High Speed Broadband is ready for connection under National Broadband Plan.",0
"267 Griffith Avenue, Drumcondra, Dublin 9, D09E2F6",1950000,4,4,Semi-D,drumcondra-dublin,Dublin,"Spacious Four/Five-bedroom semi-detached home spanning approx. 238 sq. mtrs / 2,562 sq. ft of beautifully appointed accommodation, Renovated, extended and modernised in 2012, Four double Bedrooms, CCTV Cameras in operation, Bright contemporary accommodation, Underfloor zoned heating, GFCH - Combi Boiler, Excellent BER Rating B2, All integrated High quality Siemens appliances included in the sale - Oven, Steam Oven, Microwave Oven, Warming drawer, Built in Coffee Machine, Tumbl, Floors, Walls & Ceiling - Internally Insulated",1934
"129 Glenageary Avenue, Dun Laoghaire, A96 N9Y6, Glenageary, Co. Dublin, A96N9Y6",800000,5,2,Semi-D,glenageary-dublin,Dublin,"Sought after location, Large back garden, 5 Bedrooms, Oil heating, Double Glazing, Off street parking, Close to public transport links, Close to all amenities, Large balcony, Internal Viewings Recommended",1963
"144 Dun Na Coiribe, Headford Road, Jordan's Island, Co. Galway, H91W9PF",450000,4,3,"End of Terrace",jordan-s-island-galway,Galway,"Superior 4 Bedroom Residence , Finished to and Exceptional Standard, New Fixtures and Fittings Throughout , Contemporary Bathrooms with New Tiling and Bathroom Furniture, Private Parking, Attractive Red Brick Faé§ade , Premium Build Quality , Walking Distance to Galway University and City Centre, High Speed Broadband Available.",1999
"180 Ballygall Road East, Glasnevin, Dublin 11, D11A436",395000,2,1,Detached,glasnevin-dublin,Dublin,"Detached Residence, Centrally Located, Beautiful Front Garden, Large Rear Patio, Close to All Amenities, And Public Transport, Secure Private Parking, D11A436",2000
"Hideaway, Reenogreena, Glandore, Co. Cork, P81F659",735000,4,3,Detached,glandore-cork,Cork,,1990
"Ard Aoibhinn, 16 Taney Road, Dundrum, Dublin 14, D14A5R6",1795000,5,4,Detached,dundrum-dublin,Dublin,,1936
"Cedarwood House, Stonestown, Cloghan, Birr, Co Offaly, R42YW62",499000,4,3,Detached,cloghan-offaly,Offaly,"Prestigious property with excellent privacy., Spacious light filled rooms throughout the property., Power Chandeliers in the open plan sitting / dining room included., Roller blinds included., Modern design., Sauna, Large composite decking area 139 sq.m. with built in barbeque., Underfloor heating., Monitored alarm., CCTV security",2009
"The Gardeners, Killenard, Co. Laois, R32H9Y8",575000,5,3,Detached,killenard-laois,Laois,"Hume Auctioneers - We Get The Pick Of The Crop, 1.66 acres of beautiful grounds",0
"Churchlands, Churchlands, Delgany, Co. Wicklow",0,3,0,Houses,delgany-wicklow,Wicklow,,0
"White Waves, Corbally Upper , Tramore, Co. Waterford",0,4,0,Houses,tramore-waterford,Waterford,"A2 Rated nZEB Standard, Air to Water heat pump and pressurised system, Mechanical Extract Ventilation System, PVC Future proof windows, PVC Fascia’s, Soffits and Downpipes, Attic Truss to enable further conversion of attic , Eco Joists at first floor level, Shaker doors, skirting and architraves., Cobble lock Driveway, Charging point for electric car",0
"Rockingham, Newcastle, Co. Wicklow",0,3,0,Houses,newcastle-wicklow,Wicklow,"Final 3 & 4 bedroom family homes available, Help-To-Buy Qualified , B2 BER rating, PV Solar panels, Fitted wardrobes, Within walking distance to the beach, Eco friendly electric heating, Quality tiling and sanitary ware, PVC Double Glazed throughout",0
"New Homes At Foxrock Avenue, New Homes At Foxrock Avenue, Foxrock, Dublin 18",0,0,0,Houses,foxrock-dublin,Dublin,,0
"Ardilea, Castlecomer Road, Kilkenny, Co. Kilkenny",0,5,0,Houses,kilkenny-kilkenny,Kilkenny,"High Class Executive Homes , 'A' Rated Energy Efficient Homes, 10 year Homebond Insurance , Accommodation: entrance hall, living room, playroom, kitchen/dining, sunroom, utility, 5 bedrooms, 4 bathrooms., 10 Minute Walk to Kilkenny Town Centre , Private Gated Community , Underfloor heating system on ground and first floor , Future proof triple glazed windows , Wired for Electric car charging point, Cobblelock driveway and paved patio area ",0
"Manderlay, Crosstown, Wexford Town, Co. Wexford, Y35EK5H",1100000,7,6,Detached,wexford-town-wexford,Wexford,,2001
"Mill Farm, "Only 1 Available" The Paddocks, Mill Farm, Carrigaline, Co. Cork",0,4,0,Houses,carrigaline-cork,Cork,"Underfloor Heating Downstairs, Kitchen PC Sum, 5 Minutes walk to Carrigaline Town Centre",0
"PROSPECT BAY, Mount Prospect Avenue, Clontarf, Dublin 3",0,2,0,Houses,clontarf-dublin,Dublin,"1 bed, 2 bed and 3 bed apartments in a stunning location, The highest Standards of finishes throughout, Lift access from car park to all levels, A3 Building Energy Rating Energy Rating, Private landscaped woodland to the rear common gardens and additional open space for apartment residents to enjoy, One allocated car parking space for each apartment and two for penthouses., Custom designed contemporary kitchens designed by BESPACE Kitchens, Direct Views of St Annes Park, Dublin Bay, Howth & Dublin City Centre",0
"Aderrig, Aderrig, Adamstown, Co. Dublin",0,2,0,Houses,adamstown-dublin,Dublin,,0
"SeaGreen, Sea, Green, Blacklion, Greystones, Co. Wicklow",0,4,0,Houses,greystones-wicklow,Wicklow,,0
"Ashcourt At Woodbrook, Ashcourt At Woodbrook, Woodbrook, Shankill, Dublin 18",0,1,0,Houses,shankill-dublin,Dublin,,0
"8 The Tides, 8 The Tides, Coast Road, Malahide, Co. Dublin",0,3,0,Houses,malahide-dublin,Dublin,,0
"Fox Meadow , Kilkenny, Co. Kilkenny",0,5,0,Houses,kilkenny-kilkenny,Kilkenny,"NZEB Compliance A2 Rated homes., 10-year Homebond Structural Guarantee., MVHR Mechanical Heat Recovery System., High performance, energy efficient windows & doors., Low maintenance exterior finishes., Modern brick paving to front drives and paved patio area to rear gardens., All homes are additionally covered by Mechanical and Electrical defects insurance., Clancy Homes after care service includes a service visit after six months. , Fox Meadow is an exclusive development of large family homes located on the edge of Kilkenny city! ",0
"The Fairways, Midleton, Co. Cork",0,0,0,Houses,midleton-cork,Cork,"Designed for modern family living, A-Rated Energy Efficient Homes & Air-to-water heating system, Finished to the highest of standards, Fenced private garden to the rear, Master bedroom with en-suite, Downstairs WC, Attractive paved front driveway to each house., Ideally located, within walking distance of all amenities, Superb transport links, HomeBond - 10 year structural guarantee ",0
"Bracken Demesne, Roundwood, Co. Wicklow",0,4,0,Houses,roundwood-wicklow,Wicklow,"Triple glazed A rated windows and doors , air to water heating system , Finished in an elegant stone clad ",0
"Deerpark, Creagh, Gorey, Co. Wexford",0,3,0,Houses,gorey-wexford,Wexford,"All units are A2 BER Energy Rated., Air to water Heat Pump System., Wired for high-speed broadband, ready for conection by broadsband provider., Fully accessable attic space available., Sleek contemporary doors, skirting and architraves., Extra high ceilings at ground floor level., Modern contemporary design kitchens., Space to park two cars comfortably., Proximity to a range of amenities., Located in highly sought after area.",0
"Effernock, Trim, Co. Meath",0,2,0,Houses,trim-meath,Meath,,0
"Kilmartin Grove , Hollystown, Dublin 15",0,3,0,Houses,hollystown-dublin,Dublin,,0
"Foxwood Barn, Citywest, Co. Dublin",0,4,0,Houses,citywest-dublin,Dublin,,0
"Foggie Field, Kilruddery, Bray, Co. Wicklow",0,3,0,Houses,bray-wicklow,Wicklow,,0
"Parkleigh, Seven Mills, Dublin 22",0,2,0,Houses,N/A,N/A,,0
"Nyne Park, Kilkenny, Co. Kilkenny",0,3,0,Houses,kilkenny-kilkenny,Kilkenny,,0
"Hereford Park , Leixlip, Co. Kildare",0,2,0,Houses,leixlip-kildare,Kildare,,0
"Balmoston, Donabate, Co. Dublin",0,1,0,Houses,donabate-dublin,Dublin,,0
"Folkstown Park, Balbriggan, Co. Dublin",0,2,0,Houses,balbriggan-dublin,Dublin,,0
"Bayly, Douglas, Co. Cork",0,3,0,Houses,douglas-cork,Cork,,0
"Archers Wood, Delgany, Co. Wicklow",0,5,0,Houses,delgany-wicklow,Wicklow,,0
"Greville Park , Mullingar, Co. Westmeath",0,2,0,Houses,mullingar-westmeath,Westmeath,,0
"The Meadow, Monamore, Westport, Co. Mayo",0,4,0,Houses,westport-mayo,Mayo,"A2 energy rated house      , Air to water heating, Large fully fitted high quality kitchen with stone worktops, Integrated appliances (except washing machine and dryer) provided, Separate utility room, Fully tiled kitchen and utility room, Tiled and fitted bathroom, en suite and WC, Fitted wardrobes in two bedrooms,  Fully painted on interior and exterior, Large fully fenced and seeded gardens with paved patio area ",0
"Rock Gate, Baneshane, Midleton, Co. Cork",0,3,0,Houses,midleton-cork,Cork,"Exciting new development of 3 & 4 bedroom homes, Spacious homes over two floors , Highly efficient featuring underfloor heating , A2 Rated, Located less than 2km from Midleton town ",0
"143 Merrion Road, Ballsbridge, Dublin 4",0,1,0,Houses,dublin-4-dublin,Dublin,"Breath-taking sea views from many apartments, Beautifully designed contemporary apartments with landscaped internal courtyard,  A short stroll from Sydney Parade Dart Station & next to St. Vincent's Hospital & Elm Park Golf Club, A small bespoke development of just 63 apartments, Lift access to all floors, secure parking and triple glazing, Walking distance to the Merrion Shopping Centre & Ballsbridge Village, A rated energy efficient homes, Contemporary interiors to all apartments , Close to both Trinity College, UCD, St. Michaels College, Blackrock College & The Teresian School, On a direct bus route to the city centre (Bus Route 4 & 7)",0
"Castlerock Drive, Castlerock, Castleconnell, Co. Limerick",0,3,0,Houses,castleconnell-limerick,Limerick,"A2 Rated Home, Air to Water heat pump, Sought After Area, Help To Buy Approved, First Home Scheme ",0
"Rathasker Lane, Naas, Co. Kildare",0,3,0,Houses,naas-kildare,Kildare,"A2/A3 Ber rated energy saving homes, Air-to-water heat pumps with radiators throughout for ultra efficient heating and hot water, Elegant high quality fitted kitchens and wardrobes, Stylish bathrooms with attractive range of high quality sanitary ware, Walking distance to Naas Main Street, Incredibly Spacious, Landscaped Open Spaces, High performance low U-value windows and external doors, Demand Controlled Ventilation , Convenient to a multitude of essential and leisure amenities",0
"The Blossoms At Tandy's Lane, The Blossoms At Tandy's Lane, Adamstown, Lucan, Co. Dublin",0,2,0,Houses,lucan-dublin,Dublin,"Broad array of 2. 3 and 4 bedroom house styles, A2 Rated high specification homes, Excellent transport links and amenities just minutes away, Ideal for purchasers at every stage of life, Located adjacent to Serpentine Park and Tandy's Lane Park",0
"Kingstone Manor, Kingstone Manor, Killincarraig, Delgany, Co. Wicklow",0,4,0,Houses,delgany-wicklow,Wicklow,"4 Bedroom homes, Energy efficient A-Rated homes, Nestled between picturesque villages of Greystones & Delgany, Located in highly sought after area, Close proximity to a range of amenities",0
"Archersleas, Callan Road, Kilkenny, Co. Kilkenny",0,4,0,Houses,kilkenny-kilkenny,Kilkenny,"10-YEAR HOMEBOND STRUCTURAL GUARANTEE, NZEB COMPLIANT A2 RATING , NEAR ZERO ENERGY BUILDINGS, STUNNING CONTEMPORARY KITCHEN BY SINNOTTS KITCHENS LIMITED, KILKENNY, ALL HOUSES ARE CONSTRUCTED TO PROVIDE A HIGH LEVEL OF AIR TIGHTNESS TO RETAIN HEAT AND LOWER ENERGY BILLS, ENERGY EFFICIENT HEAT PUMP SYSTEM WITH THERMOSTATICALLY CONTROLLED RADIATORS, LOW MAINTENANCE EXTERIOR WITH GEORGIAN BRICK AND KILKENNY LIMESTONE FINISH, TRIPLE GLAZED HIGH PERFORMANCE WINDOWS WITH EXTRA LOW U-VALUE , CLOSE TO CHILDCARE CENTRE'S,AND CHOICE OF BOTH PRIMARY AND SECONDARY SCHOOLS , WITHIN WALKING DISTANCE OF KILKENNY CITY CENTRE AND ALL OF THE CITIES AMENITIES, WITHIN A SHORT DRIVE OF M9 MOTORWAY ACCESS",0
"**Phase 2 Now Available The Meadows, Rowlestown  -, Swords, Co. Dublin",0,5,0,Houses,swords-dublin,Dublin,"All walls and ceilings will be dry lined and skimmed., ICF Walls & Concrete floor finish to ground floor, 2.7m ceiling heights to the ground floor & 2.6m first floor., Hardwood primed shaker doors throughout., Well designed and generous electrical and lighting specification allowing for a mix of pendant and downlights., Air to water to heat pump., Pressurised water system with variable speed pump., Underfloor heating on ground , Smoke, carbon monoxide detectors and heat sensor fitted as standard., Feature driveways as per show house.",0
"Strettle Avenue, Ballitore, Ballitore, Co. Kildare",0,4,0,Houses,ballitore-kildare,Kildare,"Qualifies for the Help to Buy Scheme & First Home Scheme , Traditional block build , Each home is covered by the Homebond 10 year structural guarantee, A rated, energy efficient / cost effective homes, High quality specification & finishes throughout., Great commuter location, with excellent transport links available, BER: A2",0
"Slí Humbert, Castlebar, Co. Mayo",0,3,0,Houses,castlebar-mayo,Mayo,"Spacious semi-detached houses, Located within short walking distance of Mayo University Hospital, Convenient for Castlebar Town Centre & Lough Lannagh Recreatonal Park , Spacious A Rated Accommodation, Under floor heating on Ground Floor. Radiators on 1st Floor, Slí Humbert Is An Established Residential Location, 10 Year Home Bond Guarantee, Eligible for The Help-to-Buy scheme , Eligible for First Homes Scheme, Landscaped Drive at Front.  Landscaped Garden at Rear",0
"Bishop's Grove, Williamstown, Waterford City, Co. Waterford",0,4,0,Houses,waterford-city,Waterford,"Situated adjacent to the much-sought after Williamstown Road, offering easy access to all amenities, Four homes in a prestigious, private residential enclave, A brand new property set for completion in early 2025, boasting an , Generous 218 sq m two-storey residence featuring a garden and ample off-street parking, Impressive 2.75 ceilings, 2.4m internal doors,large windows including magnificent bow windows, Generous kitchen and flooring allowances",0
"Danehill Development, Phoenix Park Avenue, Phoenix Park Racecourse, Castleknock, Dublin 15",0,1,0,Houses,castleknock-dublin,Dublin,,0
"Rowleys Lock, Boyne Road, Navan, Co. Meath",0,4,0,Houses,navan-meath,Meath,"FINAL PHASE - luxury 4 bed detached homes remaining, High quality residential development, A rated, energy efficient/cost effective homes, Exceptional finishes throughout, Homebond 10 year structural guarantee, Excellent transport links available",0
"Birchfields, Bog Road, Portarlington, Co. Laois",0,3,0,Houses,portarlington-laois,Laois,"A Energy Rated, Available for immediate occupation, Triple Glazed Windows, Air to Water Heat Pump, Composite Front Doors, Parking, Fitted Kitchen Units in every home, Tiled Bathrooms",0
"55 Lad Lane, Dublin 2",0,2,0,Houses,dublin-2-dublin,Dublin,,0
"Shore Club, Beach Road, Dublin 4",0,1,0,Houses,dublin-4-dublin,Dublin,,0
"Hawks Bay, Hawks Bay, Wicklow Town, Co. Wicklow",0,2,0,Houses,wicklow-town-wicklow,Wicklow,"Walking distance to Wicklow Town, Train Station 2.5km, Easy access to road networks, Amazing Sea Views, Generously landscaped front and rear garden, A2 BER rating, ICF building method, Wired for high-speed broadband (CAT 6), Fully integrated appliances (subject to 21 - day rule), Developed by Durkan",0
"The Belvedere & The Belvedere View, Kinsale, Co. Cork",0,3,0,Houses,kinsale-cork,Cork,"Prices: €870,000/€950,000/€1.5m/€1.65m , Sizes: 169/230/256 sq m (1,825/2,189/2,758 sq ft) , Bedrooms: 3/4 Bathrooms: 3/4 BER: A2, BER: A2, Luxury Cinema Room & Home Bar in Game Room:    , Bespoken cinema room including 85’’ 4k smart TV and built into purpose-built cabinetry wall unit, Star light ceiling acoustic feature, top-quality custom bar with dual temperature wine fridge.",0
"Greenpark, Limerick City, Co. Limerick",0,2,0,Houses,limerick-city,Limerick,"A Rated Family Homes that qualify for discounted Green Mortgages, Stylish fitted kitchens and wardrobes, Seeded rear gardens, Air to Water heating system, Great local and national transport links, Grade A location with all amenities just a short walk away, Homes qualify for Help to Buy and First Home Scheme, Connectivity to the city via walkways and cycle lanes, 10 year Homebond guarantee, Just 8 minutes walk to The Crescent Shopping Centre and within easy reach of Raheen Business Park & The University Hospital",0
"Kylemore, Kylemore, Church Road, Killiney, Co. Dublin",0,3,0,Houses,killiney-dublin,Dublin,,0
"Ushers Mill, Ushers Mill, Drogheda, Co. Louth",0,3,0,Houses,drogheda-louth,Louth,,0
"Castle Grove Gardens, Ballygarth Road, Julianstown, Co. Meath",0,3,0,Houses,julianstown-meath,Meath,"Only a 5 minute drive to the M1 Motorway, 20 minutes from Swords, 15 minutes to Skerries and 25 minutes to Malahide., Located within the beautiful village centre of Julianstown., The development qualifies for the Help to Buy Scheme and The First Home Scheme., Exclusive small development., 3 minute drive to Laytown Train Station and a similar distance to numerous beaches., 10 Year Homebond Guarantee Scheme., Mainly extra large 3 bedroom houses., Energy Efficient Heat Pump System with Thermostatically Controlled Radiators.",0
"Bregawn, Cashel, Co. Tipperary",0,4,0,Houses,cashel-tipperary,Tipperary,"2, 3, and 4-Bed Superior-Built Homes Available, Energy-Efficient Homes: All with A2 Rating, Comfort-Optimised Heating: Thermostatically Controlled Heat Pump System, Prime Location: Just 2 Minutes from Junction 8 of the M8 Motorway, Limerick, Kilkenny, and Cork - All Within 60 Minutes!, Lush Seeded Gardens with Secure Rear Boundaries, Car parking spaces for 2 cars in each driveway, Loft ladders to all houses as standard, Situated Below the Majestic Rock of Cashel in the Heart of Picturesque County Tipperary, Peace of Mind: 10-Year Homebond Coverage for Each JSF Home, A generous kitchen allowance is included in all house types and we can offer the option of 3 different suppliers for this. Please discuss this option ",0
"Silverbrook, Silverbrook, Rathfarnham, Dublin 14",0,4,0,Houses,rathfarnham-dublin,Dublin,"Boutique development of luxurious Georgian inspired residences, Superbly located in the heart of Rathfarnham, Within easy reach of a superb range of local amenities, State of the art craftsmanship and quality throughout, Energy efficient A-Rated homes, Feature height ceilings, High quality kitchens and design led bathrooms, Rooftop terraces, Two parking spaces per property",0
"St James, Cross Avenue, Blackrock, Cross Avenue, Blackrock, Co. Dublin",0,4,0,Houses,blackrock-dublin,Dublin,,0
"Ardview, Rathdrum, Co. Wicklow",0,2,0,Houses,rathdrum-wicklow,Wicklow,"52 A-Rated Energy Efficient 3 & 4 Bedroom Family Homes., Rail & Bus Services to Dublin, Excellent Primary & Secondary Education, High Performance Energy Efficient Windows. , Contemporary and Stylish kitchen., Each Home Features a Double Driveway, Secure Rear Boundaries & Back Lawn., 10 year Home Bond Structural Guarantee, Fully nZEB compliant ",0
"Robswall House and Apartments, Coast Road, Malahide, Co. Dublin",0,2,0,Houses,malahide-dublin,Dublin,"Discover Our Exclusive 5-Bedroom Home, four Stunning 3-Bedroom Duplexes, and five Elegant. 2-Bedroom Apartments, Unrivalled Sea Views, Luxury Coastal Living, A rated BER, State of the art heating and ventilation systems, Secure parking, Variety of Engineered Oak floor colours and styles, Various luxurious kitchen styles ",0
"Archers Way, Killea, Dunmore East, Dunmore East, Co. Waterford",0,3,0,Houses,dunmore-east-waterford,Waterford,"A2 Rated Homes, Built to nZEB Compliance, All external walls and party walls block built, PVC Future Proof Windows, Air to Water Heat Pump and Pressurised System, Charging point for electric car, Attic Truss to enable further conversion of attic , Mechanical Extract Ventilation System, Shaker doors, skirting and architraves, Generous electrical specification",0
"Yellow Gardens, Upper Yellow Road, Waterford City, Co. Waterford",0,3,0,Houses,waterford-city,Waterford,"A2 Rated Homes, Built to nZEB Compliance, All external walls and party walls block built, PVC Future Proof Windows, Air to Water Heat Pump and Pressurised System, Charging point for electric car, Attic Truss to enable further conversion of attic , Mechanical Extract Ventilation System, Shaker doors, skirting and architraves, Generous electrical specification",0
"Newtown Avenue, Castletroy, Limerick, Castletroy, Co. Limerick",0,3,0,Houses,castletroy-limerick,Limerick,"A2 Rated Home, Air to Water heat pump, Sought After Area, uPVC  double glazed windows and front door, Help To Buy Approved, First Home Scheme ",0
"Hainault Road, Hainault Road, Foxrock, Dublin 18",0,4,0,Houses,foxrock-dublin,Dublin,"A- rated family homes built to a high standard., Prestigious neighbourhood, located in one of Dublin's most sought after locations., Plenty of local amenities, close to Foxrock Village, Cabinteely Park, and Leopardstown Racecourse., Excellent transport links, easy access to the N11, M50, Dublin Bus, and LUAS., Proximity to highly regarded primary and secondary schools.",0
"Station Walk, Newbridge, Co. Kildare",0,3,0,Houses,newbridge-kildare,Kildare,,0
"Summerfields, Brindle Close , Waterford City, Co. Waterford",0,3,0,Houses,waterford-city,Waterford,"All houses will achieve an A2 BER rating , High levels of floor, wall and roof insulation throughout , Third generation air to water heat pump unit , Accessibility friendly that's designed to all of TGD Part M - Access and Use , Waterford City 10 minutes from the houses",0
"Seamount Rise , Malahide, Co. Dublin",0,2,0,Houses,malahide-dublin,Dublin,,0
"Seamount Rise , Malahide, Co. Dublin",0,2,0,Houses,malahide-dublin,Dublin,,0
"SAND WOOD, Portlaoise, Co. Laois",0,4,0,Houses,portlaoise-laois,Laois,,0
"Station Walk, Newbridge, Co. Kildare",0,3,0,Houses,newbridge-kildare,Kildare,,0
"Sea Gardens, Bray, Co. Wicklow",0,2,0,Houses,bray-wicklow,Wicklow,,0
"Coach Road, Clane, Co. Kildare",0,2,0,Houses,clane-kildare,Kildare,"A2/A3 Ber rated energy saving homes, Air-to-water heat pumps with radiators throughout for ultra efficient heating and hot water, Elegant high quality fitted kitchens and wardrobes, Stylish bathrooms with attractive range of high quality sanitary ware, Convenient edge of town location for commuters, Close to a host of both essential and leisure amenities, High levels of insulation in walls and floors, High performance low U-value windows and external doors, Attractive and timeless redbrick facades, Low energy carbon homes",0
"Ard Garrán, Ferbane, Co. Offaly",0,3,0,Houses,ferbane-offaly,Offaly,"Phase 1: 3 & 4 bed family homes, A2 energy rating., Samleigh Properties Limited., 73 to 138.2 sq metres, Eligible for the First Home Scheme",0
"Water Rock Manor , Midleton, Co. Cork",0,3,0,Houses,midleton-cork,Cork,,0
"Claren Court, Bray, Co. Wicklow",0,4,0,Houses,bray-wicklow,Wicklow,"“A2” Rated highly efficient home, Efficient and quiet 8kw Daikin (6kw in the 3 bed houses) Air to water heat pump, Underfloor heating throughout the ground floor with room control stats, Highly efficient radiators on the first floor with Zone control stats, UPVC Double glazed window systems, Substantial storage areas throughout the houses, Installation of large format tiles to the wet rooms, Flooring provided throughout the down stairs areas, Covered by 10 Year Home Bond guarantee scheme",0
"Mill Avenue, Maudlin Road, Kells, Co. Meath",0,3,0,Houses,kells-meath,Meath,"** LIMITED NUMBER OF HOMES REMAINING **, All homes qualify for the Help to Buy Scheme , Generously proportioned 3 & 4 bedroom homes, Each home is covered by the Homebond 10 year structural guarantee, All homes carry an A2 energy rating, High quality specification & finishes throughout , All homes with modern fitted kitchens and utility units , Built in wardrobes in two bedrooms, Cobblelock driveways with wrought iron railings, Superb location & transport links",0
"Linenfield, Ballymakenny Road, Drogheda, Co. Louth",0,4,0,Houses,drogheda-louth,Louth,,0
"Ros Rua, Coxtown, Dunmore East, Co. Waterford",0,3,0,Houses,dunmore-east-waterford,Waterford,"Air to water heating system, Stunning sea views, Spacious and modern accommodation, A2 Rated, Walking distance to Dunmore East village",0
"Carraig Mór, Blackrock, Co. Louth",0,5,0,Houses,blackrock-louth,Louth,,0
"Ravens Mill, Rolestown, Co. Dublin",0,4,0,Houses,rolestown-dublin,Dublin,"Stunning Location , A Rated Homes , Master Ensuite , Close to all amenities , Landscaped Grounds  , Built in wardrobes/ fitted kitchen appliances, Bespoke Fitted Kitchen , Spacious Living , Superb condition and tastefully decorated, Flooring included ( downstairs) ",0
"Newtown Meadows, Castletroy, Co. Limerick",0,2,0,Houses,castletroy-limerick,Limerick,"A Energy rating , Stylish and elegant kitchen , False chimney breast fitted as standard, Stylish fitted wardrobes to two bedrooms , Each home is wired for an intruder alarm , Air Source Heat Pump will be installed in all houses , Underfloor heating on the ground floor , Every home is covered by a 10 year Homebond warranty,, Double driveway, Half hourly bus service at the entrance to Newtown Manor",0
