address,price,bedrooms,bathrooms,property_type,area,county,features,date_of_construction
"Knockgraffon, Cahir, New Inn, Co. Tipperary, E21NX57",0,3,2,Detached,new-inn-tipperary,Tipperary,,0
"Croan, Dunnamaggan, Co. Kilkenny, R95AT86",425000,4,2,Detached,dunnamaggan-kilkenny,Kilkenny,"0.7 acre site, BER C1, Detached garage, Amazing views, Convenient location ",0
"19 Ashe Road, Kingsmeadow, Waterford City, Co. Waterford, X91X22R",265000,4,2,Terrace,waterford-city,Waterford,,0
"2 Merchants Quay, Merchants Road, City Centre, Galway City, Co. Galway, H91CC83",325000,2,2,Apartment,galway-city,Galway,"Ground floor & first floor duplex apartment, Well proportioned accommodation, Good condition, Excellent outside space included, City Centre location, Secured complex, Around the corner from Latin Quarter & Spanish Arch, Close proximtiy to Eyre Square, Walking distance to Galway University, Well serviced for amenities expected from city living",1990
"86 Caislean Na Habhann, Castletroy, Co. Limerick, V94KN6W",420000,4,4,Semi-D,castletroy-limerick,Limerick,"Gas fired central heating, South facing back garden, New boiler installed in 2018, Wide pedestrian side gate to fenced rear garden, Two parking spaces in front driveway, Two ensuites & two walk in wardrobes",0
"Townparks, Castledermot, Castledermot, Co. Kildare, R14WD62",435000,3,2,Detached,castledermot-kildare,Kildare,"Very good condition throughout, Private site with circa 1 acre, PVC double glazed windows, Within Walking distance to Castledermot and close to transport links , Energy efficient property ",1988
"14 Adelphi Quay, Waterford City, Co. Waterford, X91AR2D",280000,4,2,Terrace,waterford-city,Waterford,"Gas central heating, Private gated parking, Amazing river views, Freshly painted, New carpets",0
"Kiljames House On Circa 10.91 Acres, Kiljames Lower, Thomastown, Co Kilkenny, R95DH36",1350000,5,8,Detached,thomastown-kilkenny,Kilkenny,"Executive countryside residence on circa 10.91 Acres, Impressive and spacious light filled accommodation extending to 5,612 Sq. Ft. / 529 Sq. M. approx over three levels, Detached garage extending to circa 1,600 Sq. Ft. / 148 Sq. M. approx., Oil Fired and Geothermal Heating, Underfloor heating in the House and Garage, Internal Vacuum System, Waste Treatment System, Alarm fitted, Double Glazed Sash Windows, Thomas Anderson remote blinds fitted in the Sun Room and the Entrance Hall windows",2006
"Greenanstown, Stamullen, Co. Meath, K32FX24",0,4,2,Detached,stamullen-meath,Meath,"4-bedroom detached property on 1-acre site with attic conversion, dual height garage and stables., Attic Conversion includes two rooms and bathroom., Idyllic views of countryside. ,  284sqm extended in 2014. , Integrated appliance including Stanley range and island. , Electric Gates.  , Oil Central Heating., Within a short drive of Stamullen, Balbriggan, Drogheda and Ashbourne.  , Within 20-minute drive of Dublin Airport.",0
"32 Cartur Mor, Clybaun Road, H91TFY7",400000,4,3,Semi-D,knocknacarra-galway,Galway,"Four bed semi detached home, Popular residential location, Spacious semi-detached property, Oil Fired eating & double glazed windows, Large attic space suitable for conversion, Tarmacadam driveway with parking, Well serviced by local amenities, Minutes from several shops & schools, Quality transport links to & from Galway City, Easy access to UCHG & University of Galway",2001
